Class	Initial_GID	Initial_SRC	Compiled_SRC	First_Year_URN_correctedRelease	Final_GID	Pedigree	FINAL_GID_GENO_MATCH	If_Genotyped	First_Year_URN	decade
URN_Pre68	CItr6900	North Dakota	ND	1924	Ceres	Ceres	CERES	YES	1929	1930s
URN_Pre68	CItr8178	South Dakota	SD	1927	Hope	Hope	HOPE	YES	1929	1930s
URN_Pre68	CItr6887	Minnesota	MN	1926	Marquillo	Marquillo	MARQUILLO	YES	1929	1930s
URN_Pre68	CItr7370	Oregon	OTH	1929	Reliance	Reliance	RELIANCE	YES	1929	1930s
URN_Pre68	CItr8182	"Ontario, Can"	AAFC-CA	1929	Reward	Reward	REWARD	YES	1929	1930s
URN_Pre68	CItr8026	"Saskatchewan, Can"	AAFC-CA	1929	Supreme	Supreme	SUPREME	YES	1929	1930s
URN_Pre68	MARQUIS	Canada	AAFC-CA	1907	MARQUIS	HARD-RED-CALCUTTA/RED-FIFE	MARQUIS	YES	1929	1930s
URN_Pre68	CItr10003	USDA-MN	MN	1934	THATCHER	Marquis/Iumillo//Marquis/Kanred	THATCHER	YES	1934	1930s
URN_Pre68	CItr11471	North Dakota	ND	1934	2421-7.19.32	Hope x 1656.97	2421-7.19.32	YES	1934	1930s
URN_Pre68	CItr11434	North Dakota	ND	1934	25347A-1-4-11	Reliance x Hope	25347A-1-4-11	YES	1934	1930s
URN_Pre68	CItr11638	North Dakota	ND	1934	26347A-1-26	Reliance x Hope	26347A-1-26	YES	1934	1930s
URN_Pre68	CItr11440	North Dakota	ND	1934	27.8D15	Hope x Turkey-Florence	27.8D15	YES	1934	1930s
URN_Pre68	CItr11636	"Saskatchewan, Can"	AAFC-CA	1934	Apex	(D.C. --H-44) x Marquis	APEX	YES	1934	1930s
URN_Pre68	CItr11637	"Alberta, Can"	AAFC-CA	1934	Canus	Canus	CANUS	YES	1934	1930s
URN_Pre68	CItr11465	Montana	MT	1934	Comet	Comet	COMET	YES	1934	1930s
URN_Pre68	CItr11475	"Manitoba, Can"	AAFC-CA	1934	Coronation	Pentad x Marquis	CORONATION	YES	1934	1930s
URN_Pre68	CItr11463	South Dakota	SD	1934	H209	Kota-Webster	H209	YES	1934	1930s
URN_Pre68	CItr8177	South Dakota	SD	1934	H44	H-44	H44	YES	1934	1930s
URN_Pre68	CItr10020	Minnesota	MN	1934	II-21-48	Double Cross	II-21-48	YES	1934	1930s
URN_Pre68	CItr11643	Minnesota	MN	1934	II-26-6	H-44 x Marquis	II-26-6	YES	1934	1930s
URN_Pre68	CItr11644	Minnesota	MN	1934	II-26-9	H-44 x Marquis	II-26-9	YES	1934	1930s
URN_Pre68	CItr11639	North Dakota	ND	1934	NDNo.2552	Ceres x Hope-Florence	NDNO.2552	YES	1934	1930s
URN_Pre68	CItr11640	North Dakota	ND	1934	NDNo.2553	Ceres x Hope-Florence	NDNO.2553	YES	1934	1930s
URN_Pre68	CItr11641	North Dakota	ND	1934	NDNo.2554	Hope x 1656.48	NDNO.2554	YES	1934	1930s
URN_Pre68	CItr11642	North Dakota	ND	1934	NDNo.2555	Hope x 1656.48	NDNO.2555	YES	1934	1930s
URN_Pre68	CItr11468	North Dakota	ND	1934	Ns.2260	Marquis x Kota	NS.2260	YES	1934	1930s
URN_Pre68	CItr11428	North Dakota	ND	1934	Pilot	Hope x Ceres	PILOT	YES	1934	1930s
URN_Pre68	CItr11635	"Manitoba, Can"	AAFC-CA	1934	Renown	H-44 x Reward	RENOWN	YES	1934	1930s
URN_Pre68	CItr11634	"Manitoba, Can"	AAFC-CA	1934	RL704	H-44 x Marquis	RL704	YES	1934	1930s
URN_Pre68	CItr11551	South Dakota	SD	1934	SDSel.1552	H-44 x Marquis	SDSEL.1552	YES	1934	1930s
URN_Pre68	CItr11684	North Dakota	ND	1935	25347A-1-4-9	Reliance x Hope	25347A-1-4-9	YES	1935	1930s
URN_Pre68	CItr11710	Montana	MT	1935	26374A-1-19-4-1	Hope x Marquis	26374A-1-19-4-1	YES	1935	1930s
URN_Pre68	CItr11683	North Dakota	ND	1935	26375A-1-11-38	Ceres x Hope	26375A-1-11-38	YES	1935	1930s
URN_Pre68	CItr11685	North Dakota	ND	1935	27462A-3-1-14-9-20-1	Komar x Hussar	27462A-3-1-14-9-20-1	YES	1935	1930s
URN_Pre68	CItr11646	"Manitoba, Can"	AAFC-CA	1935	C-26-59-2	Hope x Reward	C-26-59-2	YES	1935	1930s
URN_Pre68	CItr11711	North Dakota	ND	1935	CI11711	Hope x Turkey-Florence	CI11711	YES	1935	1930s
URN_Pre68	CItr11713	North Dakota	ND	1935	Ns.2594	Ceres x Hope-Florence	NS.2594	YES	1935	1930s
URN_Pre68	CItr11714	North Dakota	ND	1935	Ns.2601	Ceres x Hope-Florence	NS.2601	YES	1935	1930s
